Reporter,Year,Sector,Subsector,Primary NAICS Code,NAICS Definition,Parent Company,City,County,Jurisdiction,Total Emissions (MTCO2e),Biogenic Carbon Dioxide (MTCO2e),Carbon Dioxide (MTCO2e),Methane (MTCO2e),Nitrous Oxide (MTCO2e),HFCs (MTCO2e),PFCs (MTCO2e),Sulfur Hexafluoride (MTCO2e),Fluorinated - Other (MTCO2e),Notes,Point Size,Location,Location duplicate,Latitude,Longitude,New Georeferenced Column,Counties,Congressional Districts,WAOFM - GIS - Legislative District Boundary
Alcoa Intalco Works - Ferndale,2021,Metals,Aluminum Production,331312,Primary Aluminum Production,Alcoa Corp.,Ferndale,Whatcom,Ecology: Industrial Section,9411,0,1188,8222,1,0,0,0,0,Curtailed mid 2020.,1,"(48.8455, -122.7055)","(48.8455, -122.7055)",48.8455,-122.7055,POINT (-122.7055 48.8455),2744,1,44
Avista Corporation - supplier,2021,Supplier,Natural Gas Supplier,4911,,,Spokane,Spokane,Spokane Regional Clean Air Agency,1085641,0,1084521,511,609,0,0,0,0,Currently Undergoing Verification.,4,,,,,,,,
Frito Lay - Vancouver,2021,Food Production,Other Food Products,311919,Other Snack Food Manufacturing,PepsiCo Inc,Vancouver,Clark,Southwest Clean Air Agency,14349,0,14335,7,8,0,0,0,0,,1,"(45.657037, -122.692)","(45.657037, -122.692)",45.657037,-122.692,POINT (-122.692 45.657037),2977,3,8
Georgia-Pacific Consumer Operations LLC - Camas,2017,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Koch Industries Inc.,Camas,Clark,Ecology: Industrial Section,559482,386972,164003,7198,1310,0,0,0,0,,3,"(45.584271, -122.40843)","(45.584271, -122.40843)",45.584271,-122.40843,POINT (-122.40843 45.584271),2977,3,25
"Interfor US, Inc. - Port Angeles",2017,Wood Products,Lumber Mills,321113,Sawmills,Interfor US Inc.,Port Angeles,Clallam,Olympic Region Clean Air Agency,40810,40272,0,77,461,0,0,0,0,,2,"(48.103425, -123.518642)","(48.103425, -123.518642)",48.103425,-123.518642,POINT (-123.518642 48.103425),2976,6,30
Northwest Hardwoods Inc. - Mount Vernon,2016,Wood Products,Lumber Mills,321113,Sawmills,American Industrial Partners (AIP),Mount Vernon,Skagit,Northwest Clean Air Agency,10017,6055,3878,13,71,0,0,0,0,,1,"(48.451642, -122.443028)","(48.451642, -122.443028)",48.451642,-122.443028,POINT (-122.443028 48.451642),3212,2,16
Ascensus Specialties LLC - Elma,2014,Chemicals,Other Chemicals,325180,Other Basic Inorganic Chemical Manufacturing,Ascensus Specialties LLC,Elma,Grays Harbor,Olympic Region Clean Air Agency,21231,0,21209,10,12,0,0,0,0,,1,"(46.995459, -123.382316)","(46.995459, -123.382316)",46.995459,-123.382316,POINT (-123.382316 46.995459),2983,6,30
"Solvay Chemicals, Inc. - Longview",2015,Chemicals,Other Chemicals,325180,Other Basic Inorganic Chemical Manufacturing,Solvay Chemicals Inc.,Longview,Cowlitz,Southwest Clean Air Agency,47827,0,47827,0,0,0,0,0,0,,2,"(46.137218, -122.982847)","(46.137218, -122.982847)",46.137218,-122.982847,POINT (-122.982847 46.137218),2978,3,26
Packaging Corporation of America - Wallula,2021,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Packaging Corp of America,Wallula,Walla Walla,Ecology: Industrial Section,775593,568917,191332,14498,847,0,0,0,0,,3,"(46.10396, -118.9184)","(46.10396, -118.9184)",46.10396,-118.9184,POINT (-118.9184 46.10396),2743,4,23
"WestRock CP, LLC - Tacoma",2020,Pulp and Paper,Kraft Mills,322130,Paperboard Mills,Westrock Corp.,Tacoma,Pierce,Ecology: Industrial Section,1108691,965097,137925,1051,4618,0,0,0,0,,4,"(47.260953, -122.421765)","(47.260953, -122.421765)",47.260953,-122.421765,POINT (-122.421765 47.260953),3210,9,11
U.S. Oil & Refining Co. - Tacoma,2015,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,Par Pacific Holdings Inc.,Tacoma,Pierce,Puget Sound Clean Air Agency,139259,0,137379,1425,455,0,0,0,0,,3,"(47.256813, -122.394952)","(47.256813, -122.394952)",47.256813,-122.394952,POINT (-122.394952 47.256813),3210,9,11
Michelsen Packaging - Yakima,2013,Pulp and Paper,Other Pulp and Paper,322299,All Other Converted Paper Product Manufacturing,Michelson Packaging Co.,Yakima,Yakima,Yakima Regional Clean Air Agency,9810,0,9800,5,5,0,0,0,0,,1,"(46.604058, -120.513015)","(46.604058, -120.513015)",46.604058,-120.513015,POINT (-120.513015 46.604058),2746,4,20
Sonoco Products - Sumner,2020,Pulp and Paper,Other Pulp and Paper,322130,Paperboard Mills,Sonoco Products Company,Sumner,Pierce,Puget Sound Clean Air Agency,11582,0,11570,6,7,0,0,0,0,,1,"(47.210641, -122.239474)","(47.210641, -122.239474)",47.210641,-122.239474,POINT (-122.239474 47.210641),3210,10,15
The Boeing Company - Renton,2013,Manufacturing,Transportation Industry,336411,Aircraft Manufacturing,The Boeing Company,Renton,King,Puget Sound Clean Air Agency,19419,0,19400,9,11,0,0,0,0,,1,"(47.498257, -122.211346)","(47.498257, -122.211346)",47.498257,-122.211346,POINT (-122.211346 47.498257),3009,9,38
Inland Empire Paper Company - Spokane,2014,Pulp and Paper,Other Pulp and Paper,322122,Newsprint Mills,Cowles Publishing Co.,Spokane,Spokane,Spokane Regional Clean Air Agency,27841,17801,9793,39,209,0,0,0,0,,2,"(47.688295, -117.279323)","(47.688295, -117.279323)",47.688295,-117.279323,POINT (-117.279323 47.688295),3214,5,5
Owens-Brockway Glass Container Inc Plant #2 - Kalama,2019,Minerals,Glass Production,327213,Glass Container Manufacturing,O-I Glass Inc.,Kalama,Cowlitz,Southwest Clean Air Agency,22844,0,22828,8,9,0,0,0,0,,1,"(46.031656, -122.866241)","(46.031656, -122.866241)",46.031656,-122.866241,POINT (-122.866241 46.031656),2978,3,27
Tree Top - Selah Campus,2021,Food Production,Fruit Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",Tree Top Inc.,Selah,Yakima,Yakima Regional Clean Air Agency,15073,0,15058,7,8,0,0,0,0,,1,"(46.64992, -120.52755)","(46.64992, -120.52755)",46.64992,-120.52755,POINT (-120.52755 46.64992),2746,4,22
Darigold - Sunnyside,2020,Food Production,Dairy Products,311513,Cheese Manufacturing,Darigold Inc.,Sunnyside,Yakima,Yakima Regional Clean Air Agency,40732,0,40690,19,23,0,0,0,0,,2,"(46.30058, -120.015675)","(46.30058, -120.015675)",46.30058,-120.015675,POINT (-120.015675 46.30058),2746,4,22
Starbucks Kent Flexible Plant - Kent,2021,Food Production,Other Food Products,311920,Coffee and Tea Manufacturing,Starbucks Corp.,Kent,King,Puget Sound Clean Air Agency,12492,0,12479,6,7,0,0,0,0,,1,"(47.436276, -122.237648)","(47.436276, -122.237648)",47.436276,-122.237648,POINT (-122.237648 47.436276),3009,9,36
Boeing Commercial Airplanes - Everett,2016,Manufacturing,Transportation Industry,336411,Aircraft Manufacturing,The Boeing Company,Everett,Snohomish,Puget Sound Clean Air Agency,76191,0,76112,36,44,0,0,0,0,,2,"(47.918622, -122.276987)","(47.918622, -122.276987)",47.918622,-122.276987,POINT (-122.276987 47.918622),3213,2,40
REC Solar Grade Silicon - Moses Lake,2019,Metals,Other Metals,331419,Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum),REC Silicon,Moses Lake,Grant,Ecology: Eastern Regional Office,16403,0,16386,8,9,0,0,0,0,Curtailed in mid 2019.,1,"(47.138359, -119.200383)","(47.138359, -119.200383)",47.138359,-119.200383,POINT (-119.200383 47.138359),2982,4,19
Puget Sound Energy T&D - statewide,2012,Power Plants,Electrical Transmission and Distribution,221122,Electric Power Distribution,Puget Holdings LLC,Bellevue,King,Puget Sound Clean Air Agency,12271,0,0,0,0,0,0,12271,0,,1,"(47.61345, -122.19454)","(47.61345, -122.19454)",47.61345,-122.19454,POINT (-122.19454 47.61345),3009,9,42
LRI Landfill - Graham,2014,Waste,Landfills,562212,Solid Waste Landfill,Waste Connections Inc.,Graham,Pierce,Puget Sound Clean Air Agency,57749,0,0,57749,0,0,0,0,0,,2,"(46.972405, -122.292799)","(46.972405, -122.292799)",46.972405,-122.292799,POINT (-122.292799 46.972405),3210,8,2
Avista Corporation - WA State DOE Reporting - statewide,2019,Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,Avista Corp.,Spokane,Spokane,Spokane Regional Clean Air Agency,5463,0,0,0,0,0,0,5463,0,Currently Undergoing Verification.,1,"(47.673486, -117.388514)","(47.673486, -117.388514)",47.673486,-117.388514,POINT (-117.388514 47.673486),3214,5,3
Tree Top - Prosser,2016,Food Production,Fruit Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",Tree Top Inc.,Prosser,Benton,Benton Clean Air Agency,17640,0,17622,8,10,0,0,0,0,,1,"(46.21842, -119.73397)","(46.21842, -119.73397)",46.21842,-119.73397,POINT (-119.73397 46.21842),2955,4,23
Georgia-Pacific Gypsum LLC - Tacoma,2014,Manufacturing,Building Products,327420,Gypsum Product Manufacturing,Koch Industries Inc.,Tacoma,Pierce,Puget Sound Clean Air Agency,45663,0,45616,22,26,0,0,0,0,,2,"(47.269558, -122.394869)","(47.269558, -122.394869)",47.269558,-122.394869,POINT (-122.394869 47.269558),3210,9,11
Washington State University - Pullman,2013,Government,Education,611310,"Colleges, Universities, and Professional Schools",State of Washington,Pullman,Whitman,Ecology: Eastern Regional Office,60798,0,60732,29,36,0,0,0,0,,2,"(46.728702, -117.151481)","(46.728702, -117.151481)",46.728702,-117.151481,POINT (-117.151481 46.728702),2745,5,13
Puget Sound Energy - Fredonia Generating Station - Mount Vernon,2020,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Mount Vernon,Skagit,Northwest Clean Air Agency,152007,0,151848,72,87,0,0,0,0,,3,"(48.4553, -122.435)","(48.4553, -122.435)",48.4553,-122.435,POINT (-122.435 48.4553),3212,2,16
Darigold - Lynden,2012,Food Production,Dairy Products,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",Darigold Inc.,Lynden,Whatcom,Northwest Clean Air Agency,17342,0,17324,8,10,0,0,0,0,,1,"(48.947567, -122.451915)","(48.947567, -122.451915)",48.947567,-122.451915,POINT (-122.451915 48.947567),2744,1,44
SDS Lumber Company - Bingen,2017,Wood Products,Lumber Mills,321113,Sawmills,SDS Lumber Company,Bingen,Klickitat,Ecology: Central Regional Office,57787,56682,348,109,648,0,0,0,0,,2,"(45.713913, -121.468688)","(45.713913, -121.468688)",45.713913,-121.468688,POINT (-121.468688 45.713913),3195,3,20
Naval Base Kitsap Bangor - Silverdale,2020,Government,National Security,928110,National Security,US Government,Silverdale,Kitsap,Puget Sound Clean Air Agency,20093,0,20069,10,13,0,0,0,0,,1,"(47.699284, -122.696926)","(47.699284, -122.696926)",47.699284,-122.696926,POINT (-122.696926 47.699284),848,6,29
Northwest Pipeline C/S - Goldendale,2016,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Goldendale,Klickitat,Ecology: Central Regional Office,20352,0,17293,3049,10,0,0,0,0,,1,"(45.771216, -120.799267)","(45.771216, -120.799267)",45.771216,-120.799267,POINT (-120.799267 45.771216),3195,3,20
Cowlitz County Tennant Way Landfill - Longview,2018,Waste,Landfills,562212,Solid Waste Landfill,Cowlitz County,Longview,Cowlitz,Southwest Clean Air Agency,20542,0,0,20542,0,0,0,0,0,,1,"(46.107229, -122.905601)","(46.107229, -122.905601)",46.107229,-122.905601,POINT (-122.905601 46.107229),2978,3,26
Inland Empire Paper Company - Spokane,2013,Pulp and Paper,Other Pulp and Paper,322122,Newsprint Mills,Cowles Publishing Co.,Spokane,Spokane,Spokane Regional Clean Air Agency,28038,18131,9501,159,247,0,0,0,0,,2,"(47.688295, -117.279323)","(47.688295, -117.279323)",47.688295,-117.279323,POINT (-117.279323 47.688295),3214,5,5
Packaging Corporation of America - Wallula,2016,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Packaging Corp of America,Wallula,Walla Walla,Ecology: Industrial Section,806310,645182,145497,13423,2209,0,0,0,0,,3,"(46.10396, -118.9184)","(46.10396, -118.9184)",46.10396,-118.9184,POINT (-118.9184 46.10396),2743,4,23
CenTrio Energy Seattle LLC - Seattle,2020,Power Plants,"Other Power, Heating, or Cooling Plants",221330,Steam and Air-Conditioning Supply,"BIF II District Energy Holdings III, Delaware",Seattle,King,Puget Sound Clean Air Agency,63601,0,63536,30,36,0,0,0,0,,2,"(47.6068, -122.340179)","(47.6068, -122.340179)",47.6068,-122.340179,POINT (-122.340179 47.6068),3009,7,4
Northwest Hardwoods Inc. - Mount Vernon,2017,Wood Products,Lumber Mills,321113,Sawmills,American Industrial Partners (AIP),Mount Vernon,Skagit,Northwest Clean Air Agency,10531,7441,2987,16,87,0,0,0,0,,1,"(48.451642, -122.443028)","(48.451642, -122.443028)",48.451642,-122.443028,POINT (-122.443028 48.451642),3212,2,16
Simplot Feeders LTD. - Burbank,2018,Livestock,Cattle Feedlots,112112,Cattle Feedlots,J.R. Simplot Company,Burbank,Walla Walla,Ecology: Eastern Regional Office,29517,0,0,2166,27352,0,0,0,0,,2,"(46.133131, -118.90629)","(46.133131, -118.90629)",46.133131,-118.90629,POINT (-118.90629 46.133131),2743,4,23
Grays Harbor Energy Center - Elma,2015,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,,Elma,Grays Harbor,EFSEC,1170621,0,1169432,542,646,0,0,0,0,,4,"(46.9688, -123.48)","(46.9688, -123.48)",46.9688,-123.48,POINT (-123.48 46.9688),2983,6,26
Puget Sound Energy - Ferndale Generating Station - Ferndale,2018,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Ferndale,Whatcom,Northwest Clean Air Agency,302529,0,302223,140,167,0,0,0,0,,3,"(48.828707, -122.685533)","(48.828707, -122.685533)",48.828707,-122.685533,POINT (-122.685533 48.828707),2744,1,44
Northwest Pipeline C/S - Washougal,2019,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Washougal,Clark,Southwest Clean Air Agency,25817,0,21465,4340,12,0,0,0,0,,2,"(45.63236, -122.36516)","(45.63236, -122.36516)",45.63236,-122.36516,POINT (-122.36516 45.63236),2977,3,20
Georgia-Pacific Consumer Operations LLC - Camas,2013,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Koch Industries Inc.,Camas,Clark,Ecology: Industrial Section,675348,535823,129412,8093,2020,0,0,0,0,Assigned emission level to update Supbart TT input values.,3,"(45.584271, -122.40843)","(45.584271, -122.40843)",45.584271,-122.40843,POINT (-122.40843 45.584271),2977,3,25
Central Washington University - Ellensburg,2015,Government,Education,611310,"Colleges, Universities, and Professional Schools",State of Washington,Ellensburg,Kittitas,Ecology: Central Regional Office,12838,0,12822,7,9,0,0,0,0,,1,"(47.003202, -120.544513)","(47.003202, -120.544513)",47.003202,-120.544513,POINT (-120.544513 47.003202),3194,8,19
Northwest Pipeline C/S - Sumas,2018,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Sumas,Whatcom,Northwest Clean Air Agency,90783,0,86855,3879,49,0,0,0,0,,2,"(49.001, -122.2214)","(49.001, -122.2214)",49.001,-122.2214,POINT (-122.2214 49.001),2744,1,44
Agrium Kennewick Fertilizer Operations (KFO) - Kennewick,2012,Chemicals,Fertilizer Production,325311,Nitrogenous Fertilizer Manufacturing,Agrium US Inc.,Kennewick,Benton,Benton Clean Air Agency,146926,0,7759,1,139167,0,0,0,0,,3,"(46.165957, -119.017218)","(46.165957, -119.017218)",46.165957,-119.017218,POINT (-119.017218 46.165957),2955,4,23
"Rainier Veneer, Inc. - Spanaway",2018,Wood Products,Other Wood Products,321212,Softwood Veneer and Plywood Manufacturing,Rainier Veneer Inc.,Spanaway,Pierce,Puget Sound Clean Air Agency,18812,16101,2493,32,186,0,0,0,0,,1,"(47.062059, -122.318981)","(47.062059, -122.318981)",47.062059,-122.318981,POINT (-122.318981 47.062059),3210,10,2
Marathon Anacortes Refinery - Anacortes,2021,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,Marathon Petroleum Corp,Anacortes,Skagit,Northwest Clean Air Agency,1296106,0,1290703,2159,3244,0,0,0,0,,4,"(48.493816, -122.564845)","(48.493816, -122.564845)",48.493816,-122.564845,POINT (-122.564845 48.493816),3212,2,43
Hampton Lumber Mills Washington Inc. - Darrington,2014,Wood Products,Lumber Mills,321113,Sawmills,Hampton Lumber Mills Washington Inc.,Darrington,Snohomish,Puget Sound Clean Air Agency,93894,92656,0,178,1060,0,0,0,0,,2,"(48.262797, -121.597608)","(48.262797, -121.597608)",48.262797,-121.597608,POINT (-121.597608 48.262797),3213,1,41
J.R. Simplot Company - Othello,2015,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",J.R. Simplot Company,Othello,Adams,Ecology: Eastern Regional Office,87686,0,45538,42123,26,0,0,0,0,,2,"(46.837778, -119.176389)","(46.837778, -119.176389)",46.837778,-119.176389,POINT (-119.176389 46.837778),2953,4,13
Sierra Pacific Industries - Centralia,2018,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Centralia,Lewis,Southwest Clean Air Agency,42446,41887,0,81,479,0,0,0,0,,2,"(46.756413, -122.995433)","(46.756413, -122.995433)",46.756413,-122.995433,POINT (-122.995433 46.756413),3196,3,27
Avista Corporation - supplier,2016,Supplier,Natural Gas Supplier,4911,,,Spokane,Spokane,Spokane Regional Clean Air Agency,997947,0,996917,470,560,0,0,0,0,Currently Undergoing Verification.,3,,,,,,,,
Washington Potato Company - Warden,2013,Food Production,Potato Products,311991,Perishable Prepared Food Manufacturing,Washington Potato Co.,Warden,Grant,Ecology: Eastern Regional Office,31968,0,31935,15,18,0,0,0,0,,2,"(46.970469, -119.063631)","(46.970469, -119.063631)",46.970469,-119.063631,POINT (-119.063631 46.970469),2982,4,19
Washington Potato Company - Warden,2018,Food Production,Potato Products,311991,Perishable Prepared Food Manufacturing,Washington Potato Co.,Warden,Grant,Ecology: Eastern Regional Office,29914,0,29884,14,17,0,0,0,0,,2,"(46.970469, -119.063631)","(46.970469, -119.063631)",46.970469,-119.063631,POINT (-119.063631 46.970469),2982,4,19
Puget Sound Energy - Goldendale Generating Station - Goldendale,2015,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Goldendale,Klickitat,Ecology: Central Regional Office,551705,0,551145,256,305,0,0,0,0,,3,"(45.8114, -120.833)","(45.8114, -120.833)",45.8114,-120.833,POINT (-120.833 45.8114),3195,3,20
Georgia-Pacific Gypsum LLC - Tacoma,2016,Manufacturing,Building Products,327420,Gypsum Product Manufacturing,Koch Industries Inc.,Tacoma,Pierce,Puget Sound Clean Air Agency,48825,0,48775,23,27,0,0,0,0,,2,"(47.269558, -122.394869)","(47.269558, -122.394869)",47.269558,-122.394869,POINT (-122.394869 47.269558),3210,9,11
Darigold - Lynden,2017,Food Production,Dairy Products,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",Darigold Inc.,Lynden,Whatcom,Northwest Clean Air Agency,17624,0,17606,9,10,0,0,0,0,,1,"(48.947567, -122.451915)","(48.947567, -122.451915)",48.947567,-122.451915,POINT (-122.451915 48.947567),2744,1,44
REG Grays Harbor LLC - Hoquiam,2020,Petroleum Systems,Other Petroleum Systems,325199,All Other Basic Organic Chemical Manufacturing,Renewable Energy Group Inc.,Hoquiam,Grays Harbor,Olympic Region Clean Air Agency,18305,0,18286,9,10,0,0,0,0,,1,"(46.968196, -123.853622)","(46.968196, -123.853622)",46.968196,-123.853622,POINT (-123.853622 46.968196),2983,6,30
"Emerald Kalama Chemical, LLC - Kalama",2019,Chemicals,Other Chemicals,325199,All Other Basic Organic Chemical Manufacturing,Emerald Performance Materials LLC,Kalama,Cowlitz,Southwest Clean Air Agency,57004,0,56945,27,32,0,0,0,0,,2,"(46.02191, -122.85698)","(46.02191, -122.85698)",46.02191,-122.85698,POINT (-122.85698 46.02191),2978,3,27
Northwest Pipeline Roosevelt C/S - Bickleton,2021,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Bickleton,Klickitat,Ecology: Central Regional Office,16535,0,14323,2204,8,0,0,0,0,,1,"(45.849504, -120.08083)","(45.849504, -120.08083)",45.849504,-120.08083,POINT (-120.08083 45.849504),3195,3,20
Bonneville Power Administration - WA Only - statewide,2018,Power Plants,Electrical Transmission and Distribution,221121,Electric Bulk Power Transmission and Control,US Government,Vancouver,Clark,Southwest Clean Air Agency,19350,0,0,0,0,0,0,19350,0,,1,"(45.661178, -122.658608)","(45.661178, -122.658608)",45.661178,-122.658608,POINT (-122.658608 45.661178),2977,3,8
River Road Generating Plant - Vancouver,2021,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Clark Public Utilities,Vancouver,Clark,Southwest Clean Air Agency,737163,0,736414,342,407,0,0,0,0,,3,"(45.64958, -122.724806)","(45.64958, -122.724806)",45.64958,-122.724806,POINT (-122.724806 45.64958),2977,3,8
Grays Harbor Energy Center - Elma,2020,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,,Elma,Grays Harbor,EFSEC,980346,0,979351,454,541,0,0,0,0,,3,"(46.9688, -123.48)","(46.9688, -123.48)",46.9688,-123.48,POINT (-123.48 46.9688),2983,6,26
Horn Rapids Sanitary Landfill - Richland,2013,Waste,Landfills,562212,Solid Waste Landfill,City of Richland,Richland,Benton,Benton Clean Air Agency,28387,0,0,28387,0,0,0,0,0,,2,"(46.346663, -119.348118)","(46.346663, -119.348118)",46.346663,-119.348118,POINT (-119.348118 46.346663),2955,4,12
Puget Sound Energy LDC - statewide,2019,Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,Puget Holdings LLC,Bellevue,King,Puget Sound Clean Air Agency,61438,0,105,61333,0,0,0,0,0,,2,"(47.61345, -122.19454)","(47.61345, -122.19454)",47.61345,-122.19454,POINT (-122.19454 47.61345),3009,9,42
Hampton Lumber Mills Washington Inc. - Randle,2021,Wood Products,Lumber Mills,321113,Sawmills,Hampton Lumber Mills Washington Inc.,Randle,Lewis,Southwest Clean Air Agency,66131,65259,0,125,746,0,0,0,0,,2,"(46.533743, -121.917906)","(46.533743, -121.917906)",46.533743,-121.917906,POINT (-121.917906 46.533743),3196,3,27
LRI Landfill - Graham,2016,Waste,Landfills,562212,Solid Waste Landfill,Waste Connections Inc.,Graham,Pierce,Puget Sound Clean Air Agency,115122,0,0,115122,0,0,0,0,0,,3,"(46.972405, -122.292799)","(46.972405, -122.292799)",46.972405,-122.292799,POINT (-122.292799 46.972405),3210,8,2
NW Natural LDC - WA - statewide,2012,Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,NW Natural,Portland,Clark,Southwest Clean Air Agency,6441,0,9,6432,0,0,0,0,0,,1,,,,,,,,
WestRock LLC - Longview,2020,Pulp and Paper,Kraft Mills,322130,Paperboard Mills,Kapstone Paper & Packaging Corp.,Longview,Cowlitz,Ecology: Industrial Section,1541833,1346047,189260,1280,5246,0,0,0,0,,4,"(46.10361, -122.92167)","(46.10361, -122.92167)",46.10361,-122.92167,POINT (-122.92167 46.10361),2978,3,26
The Boeing Company - Fabrication (Frederickson Site) - Puyallup,2018,Manufacturing,Transportation Industry,336411,Aircraft Manufacturing,The Boeing Company,Puyallup,Pierce,Puget Sound Clean Air Agency,19671,0,19651,9,11,0,0,0,0,,1,"(47.088831, -122.34862)","(47.088831, -122.34862)",47.088831,-122.34862,POINT (-122.34862 47.088831),3210,10,2
Basic American Foods - Moses Lake,2013,Food Production,Potato Products,311423,Dried and Dehydrated Food Manufacturing,Basic American Inc.,Moses Lake,Grant,Ecology: Eastern Regional Office,28312,0,28283,13,16,0,0,0,0,,2,"(47.075183, -119.220408)","(47.075183, -119.220408)",47.075183,-119.220408,POINT (-119.220408 47.075183),2982,4,19
"Kaiser Aluminum Washington, LLC (Trentwood Works) - Spokane Valley",2018,Metals,Other Metals,331315,"Aluminum Sheet, Plate, and Foil Manufacturing",Kaiser Aluminum Corp.,Spokane Valley,Spokane,Spokane Regional Clean Air Agency,130646,0,130512,62,73,0,0,0,0,,3,"(47.687074, -117.212673)","(47.687074, -117.212673)",47.687074,-117.212673,POINT (-117.212673 47.687074),3214,5,5
Lamb Weston - Quincy,2014,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Quincy,Grant,Ecology: Eastern Regional Office,38324,0,38285,18,21,0,0,0,0,,2,"(47.234413, -119.869914)","(47.234413, -119.869914)",47.234413,-119.869914,POINT (-119.869914 47.234413),2982,4,19
Sierra Pacific Industries - Centralia,2013,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Centralia,Lewis,Southwest Clean Air Agency,42412,41853,0,80,479,0,0,0,0,,2,"(46.756413, -122.995433)","(46.756413, -122.995433)",46.756413,-122.995433,POINT (-122.995433 46.756413),3196,3,27
Cascade Natural Gas Corporation LDC - statewide,2018,Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,MDU Resources Group Inc.,Kennewick,Benton,Benton Clean Air Agency,23973,0,115,23858,0,0,0,0,0,,1,"(46.21875, -119.22987)","(46.21875, -119.22987)",46.21875,-119.22987,POINT (-119.22987 46.21875),2955,4,12
Cheyne Landfill - Zillah,2017,Waste,Landfills,562212,Solid Waste Landfill,Yakima County Public Services - Solid Waste Division,Zillah,Yakima,Yakima Regional Clean Air Agency,37331,0,0,37331,0,0,0,0,0,,2,"(46.4785, -120.2688)","(46.4785, -120.2688)",46.4785,-120.2688,POINT (-120.2688 46.4785),2746,4,22
Puget Sound Energy - Encogen Generating Station - Bellingham,2013,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Bellingham,Whatcom,Northwest Clean Air Agency,132779,0,132639,64,76,0,0,0,0,,3,"(48.746, -122.486)","(48.746, -122.486)",48.746,-122.486,POINT (-122.486 48.746),2744,2,44
US Army Joint Base Lewis-McChord - Pierce Co.,2016,Government,National Security,928110,National Security,US Government,Joint Base Lewis-McChord,Pierce,Puget Sound Clean Air Agency,75889,0,56118,19738,33,0,0,0,0,,2,"(47.1142, -122.5365)","(47.1142, -122.5365)",47.1142,-122.5365,POINT (-122.5365 47.1142),3210,10,34
TransAlta Centralia Generation LLC - Centralia,2015,Power Plants,Coal Plants,221112,Fossil Fuel Electric Power Generation,,Centralia,Lewis,Southwest Clean Air Agency,5665101,0,5619677,16615,28808,0,0,0,0,,5,"(46.7559, -122.8578)","(46.7559, -122.8578)",46.7559,-122.8578,POINT (-122.8578 46.7559),3196,3,27
"Nucor Steel Seattle, Inc, - Seattle",2018,Metals,Iron and Steel Production,331110,Iron and Steel Mills and Ferroalloy Manufacturing,Nucor Corporation,Seattle,King,Puget Sound Clean Air Agency,98865,0,98822,20,24,0,0,0,0,,2,"(47.569331, -122.367332)","(47.569331, -122.367332)",47.569331,-122.367332,POINT (-122.367332 47.569331),3009,7,37
