Reporter,Year,Sector,Subsector,Primary NAICS Code,NAICS Definition,Parent Company,City,County,Jurisdiction,Total Emissions (MTCO2e),Biogenic Carbon Dioxide (MTCO2e),Carbon Dioxide (MTCO2e),Methane (MTCO2e),Nitrous Oxide (MTCO2e),HFCs (MTCO2e),PFCs (MTCO2e),Sulfur Hexafluoride (MTCO2e),Fluorinated - Other (MTCO2e),Notes,Point Size,Location,Location duplicate,Latitude,Longitude,New Georeferenced Column,Counties,Congressional Districts,WAOFM - GIS - Legislative District Boundary
Sierra Pacific Industries - Aberdeen,2015,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Aberdeen,Grays Harbor,Olympic Region Clean Air Agency,249544,245941,317,472,2813,0,0,0,0,,3,"(46.971875, -123.775526)","(46.971875, -123.775526)",46.971875,-123.775526,POINT (-123.775526 46.971875),2983,6,26
"Horse Heaven Cattle Feeders, Inc. - Sunnyside",2017,Livestock,Cattle Feedlots,112112,Cattle Feedlots,"Horse Heaven Cattle Feeders, Inc.",Sunnyside,Yakima,Yakima Regional Clean Air Agency,11439,0,0,883,10556,0,0,0,0,,1,"(46.284622, -120.019668)","(46.284622, -120.019668)",46.284622,-120.019668,POINT (-120.019668 46.284622),2746,4,22
Boeing Commercial Airplanes - Everett,2021,Manufacturing,Transportation Industry,336411,Aircraft Manufacturing,The Boeing Company,Everett,Snohomish,Puget Sound Clean Air Agency,67480,0,67411,32,38,0,0,0,0,,2,"(47.918622, -122.276987)","(47.918622, -122.276987)",47.918622,-122.276987,POINT (-122.276987 47.918622),3213,2,40
Grant County Landfill 1 - Ephrata,2012,Waste,Landfills,562212,Solid Waste Landfill,Grant County,Ephrata,Grant,Ecology: Eastern Regional Office,36858,0,0,36858,0,0,0,0,0,,2,"(47.270759, -119.573764)","(47.270759, -119.573764)",47.270759,-119.573764,POINT (-119.573764 47.270759),2982,4,19
Alon Asphalt Company - Seattle,2018,Petroleum Systems,Other Petroleum Systems,324121,Asphalt Paving Mixture and Block Manufacturing,Alon USA LP,Seattle,King,Puget Sound Clean Air Agency,14249,0,14216,26,8,0,0,0,0,,1,"(47.781642, -122.395299)","(47.781642, -122.395299)",47.781642,-122.395299,POINT (-122.395299 47.781642),3213,7,21
Northwest Hardwoods Inc. - Centralia,2020,Wood Products,Lumber Mills,321113,Sawmills,Littlejohn & Co. LLC,Centralia,Lewis,Southwest Clean Air Agency,8347,4892,3387,11,58,0,0,0,0,,1,"(46.734454, -122.991963)","(46.734454, -122.991963)",46.734454,-122.991963,POINT (-122.991963 46.734454),3196,3,27
"North Pacific Paper Company, LLC - Longview",2013,Pulp and Paper,Other Pulp and Paper,322122,Newsprint Mills,NP Paper Investor Holdings LLC,Longview,Cowlitz,Southwest Clean Air Agency,43125,0,43080,20,24,0,0,0,0,Assigned emission level to establish emissions split between North Pacific Paper Company and Nippon Dynawave.,2,"(46.125662, -122.976788)","(46.125662, -122.976788)",46.125662,-122.976788,POINT (-122.976788 46.125662),2978,3,26
SDS Lumber Company - Bingen,2020,Wood Products,Lumber Mills,321113,Sawmills,SDS Lumber Company,Bingen,Klickitat,Ecology: Central Regional Office,77699,76559,118,147,876,0,0,0,0,,2,"(45.713913, -121.468688)","(45.713913, -121.468688)",45.713913,-121.468688,POINT (-121.468688 45.713913),3195,3,20
"Nucor Steel Seattle, Inc, - Seattle",2015,Metals,Iron and Steel Production,331110,Iron and Steel Mills and Ferroalloy Manufacturing,Nucor Corporation,Seattle,King,Puget Sound Clean Air Agency,87036,0,86999,17,20,0,0,0,0,Method change to mass balance.,2,"(47.569331, -122.367332)","(47.569331, -122.367332)",47.569331,-122.367332,POINT (-122.367332 47.569331),3009,7,37
Naval Base Kitsap Bangor - Silverdale,2019,Government,National Security,928110,National Security,US Government,Silverdale,Kitsap,Puget Sound Clean Air Agency,19707,0,19685,10,13,0,0,0,0,,1,"(47.699284, -122.696926)","(47.699284, -122.696926)",47.699284,-122.696926,POINT (-122.696926 47.699284),848,6,29
