,Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? ,year
1398,1004225,110025339621.0,Cardinal FG Company,Winlock,WA,98596,545 Avery Road West,LEWIS COUNTY,46.544937,-122.926313,327211,"C,N",Minerals,92355.656,92288.8,30.5,36.356,,,,,,,,,,64467.456,,,,,,,,,27888.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012
1432,1006497,110043798263.0,Cascade Natural Gas Coporation - Washington,Kennewick,WA,99336,8113 W Grandridge Blvd,BENTON COUNTY,46.21916,-119.22928,221210,"C,NN-LDC,W-NGTC","Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",23.85,4.6,19.25,,,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,19.25,,,,,,,,,,,,,,,,,N,N,N,2012
1441,1006550,110017403512.0,Cathcart Landfill,SNOHOMISH,WA,98296,8915 Cathcart Way,SNOHOMISH COUNTY,47.870014,-122.118284,562111,"C,HH",Waste,27653.498,288.2,27365.0,0.298,,,,,,,,,,288.748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27364.75,,,,N,N,N,2012
1470,1007310,110000490665.0,Centralia,CENTRALIA,WA,98531,913 BIG HANAFORD RD,Lewis,46.7559,-122.8578,221112,"C,D",Power Plants,4154743.13,4121859.6,12028.0,20855.53,,,,,,,,,,1010.784,4153732.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012
1495,1000144,110055650371.0,Chehalis Generation Facility,CHEHALIS,WA,98532,1813 BISHOP ROAD,Lewis,46.6226,-122.9145,221112,"C,D",Power Plants,371645.972,371268.4,172.25,205.322,,,,,,,,,,1011.396,370634.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012
1548,1004053,110000550886.0,City of Spokane Waste-to-Energy,SPOKANE,WA,99224,2900 S GEIGER BLVD,SPOKANE,47.626529,-117.504278,562213,C,Waste,102963.11,97470.1,2142.0,3351.01,,,,,,,,,146284.4,102963.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012
1654,1008999,110000490709.0,Cosmopolis Pulp Mill,Cosmopolis,WA,98537,1701 First St,GRAYS HARBOR COUNTY,46.953543,-123.761737,322110,"AA,C,TT","Pulp and Paper,Waste",36037.622,16794.1,10165.25,9078.272,,,,,,,,,1150934.4,15069.41,,,,,,,,,,,,,,,,,,,,,,,,,,,15686.212,,,,,,,,,5282.0,N,N,N,2012
1669,1008180,110005381942.0,Cowlitz County Headquarters Landfill,Castle Rock,WA,98611,3434 South Silver Lake Road,COWLITZ COUNTY,46.248725,-122.778109,562212,"C,TT","Other,Waste",120937.884,,120935.5,2.384,,,,,,,,,658.7,3.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120934.5,N,N,N,2012
2025,1003518,110000490816.0,EMERALD KALAMA CHEMICAL LLC,KALAMA,WA,98625,1296 NORTHWEST 3RD STREET,COWLITZ COUNTY,46.02191,-122.85698,325199,C,Chemicals,83026.694,82946.6,34.5,45.594,,,,,,,,,,83026.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012
2199,1006502,110000490013.0,Encogen Generating Station,Bellingham,WA,98225,915 Cornwall Ave,WHATCOM COUNTY,48.746,-122.486,221112,D,Power Plants,51680.104,51626.9,24.0,29.204,,,,,,,,,,,51680.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012
2208,1002677,110001916437.0,Enwave Seattle,SEATTLE,WA,98101,1319 WESTERN AVE,KING,47.608889,-122.338611,221330,C,Power Plants,76500.16,76152.3,140.75,207.11,,,,,,,,,12337.6,76500.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012
2422,1004175,110007346041.0,Frederickson PSE,TACOMA,WA,98446,4714 192ND STREET EAST,PIERCE COUNTY,47.08187,-122.3649,221112,C,Power Plants,30729.124,30695.6,14.75,18.774,,,,,,,,,,30729.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012
2423,1000301,110005307284.0,Frederickson Power LP,Tacoma,WA,98446,18610 50Th Ave East,Pierce,47.0864,-122.3644,221112,D,Power Plants,139140.484,138999.1,64.5,76.884,,,,,,,,,,,139140.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012
2424,1004066,110001917007.0,Fredonia Generating Station,Mount Vernon,WA,98273,13085 Ball Road,SKAGIT COUNTY,48.4553,-122.435,221112,"C,D",Power Plants,28513.758,28477.1,15.5,21.158,,,,,,,,,,13923.522,14590.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012
2508,1005998,110000564586.0,GEORGIA-PACIFIC CONSUMER OPERATIONS LLC,CAMAS,WA,98607,401 NE ADAMS STREET,CLARK,45.582929,-122.407758,322121,"AA,C,PP,TT","Pulp and Paper,Suppliers of CO2,Waste",172022.896,147984.7,15187.0,8851.196,,,,,,,,,579056.1,107498.192,,,,,,,,,,,,,,,,,,,,,,,,,,,54101.704,,,,,,,,,10423.0,N,Y,N,2012
2513,1005059,110000902300.0,GEORGIA-PACIFIC GYPSUM LLC,TACOMA,WA,98421,1240 ALEXANDER AVENUE,PIERCE COUNTY,47.269558,-122.394869,327420,C,Minerals,42750.388,42706.0,20.25,24.138,,,,,,,,,,42750.388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012
2554,1001436,110041171086.0,GOLDENDALE GENERATING STATION,GOLDENDALE,WA,98620,600 INDUSTRIAL WAY,KLICKITAT COUNTY,45.8114,-120.833,221112,D,Power Plants,325690.444,325360.0,150.75,179.694,,,,,,,,,,,325690.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012
2557,1000363,110000547668.0,"GOODRICH SPOKANE LANDING SYSTEMS, CARBON PRODUCTS",SPOKANE,WA,99224,11135 W WESTBOW BLVD,SPOKANE,47.583604,-117.568511,336413,C,Other,35570.11,35534.0,15.25,20.86,,,,,,,,,,35570.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012
2577,1007160,110063281434.0,GRANT CNTY EPHRATA LANDFILL 1,EPHRATA,WA,98823,3803 Neva Lake Rd. NW,GRANT COUNTY,47.26597,-119.55494,562212,HH,Waste,36857.75,,36857.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36857.75,,,,N,N,N,2012
2587,1002920,110020663575.0,GRAYMONT WESTERN US INC,TACOMA,WA,98421,1220 ALEXANDER AVENUE,PIERCE COUNTY,47.271365,-122.397262,327410,"C,S",Minerals,86850.058,86662.3,69.75,118.008,,,,,,,,,,34215.458,,,,,,,,,,,,,,52634.6,,,,,,,,,,,,,,,,,,,,,,,Y,N,N,2012
2664,1004773,110006459643.0,Gas Transmission Northwest Pipeline Rosalia CS#6,ROSALIA,WA,99170,EAST 315 BABB ROAD,WHITMAN,47.277256,-117.406737,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,75509.222,73870.3,1597.5,41.422,,,,,,,,,,73945.072,,,,,,,,,,,,,,,,,,,,1564.15,,,,,,,,,,,,,,,,,N,N,N,2012
2666,1004775,110005320955.0,Gas Transmission Northwest Pipeline Wallula CS#8,WALLULA,WA,99363,638 LAMBDIN RD,WALLA WALLA COUNTY,46.053153,-118.843934,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,88028.826,86238.3,1742.25,48.276,,,,,,,,,,86325.826,,,,,,,,,,,,,,,,,,,,1703.0,,,,,,,,,,,,,,,,,N,N,N,2012
2763,1000207,110012561021.0,Grays Harbor Energy Center,Elma,WA,98541,401 Keys Rd,GRAYS HARBOR COUNTY,46.9688,-123.48,221112,"C,D",Power Plants,60589.676,60528.3,28.0,33.376,,,,,,,,,,285.348,60304.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012
3030,1004384,110012556894.0,Hidden Valley Landfill,Puyallup,WA,98375,17925 Meridian Street East,PIERCE COUNTY,47.095,-122.2878,562212,HH,Waste,7201.75,,7201.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7201.75,,,,N,N,N,2012
3075,1007090,110037069720.0,Horn Rapids Landfill,Richland,WA,99352,3102 Twin Bridges Road,BENTON COUNTY,46.3449,-119.345854,562212,HH,Waste,20350.0,,20350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20350.0,,,,N,N,N,2012
3155,1003745,110000491502.0,INLAND EMPIRE PAPER,SPOKANE,WA,99212,3320 N. ARGONNE,SPOKANE COUNTY,47.687784,-117.27887,322122,C,Pulp and Paper,18166.624,17754.9,162.0,249.724,,,,,,,,,17985.3,18166.624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012
