,Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? ,year
6708,1007818,110001917427.0,WASTE MANAGEMENT GREATER WENATCHEE LANDF,EAST WENATCHEE,WA,98802,191 E WEBB RD,DOUGLAS COUNTY,47.403681,-120.1657,562212,HH,Waste,36141.076625,,36141.076625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36141.076625,,,,N,N,N,2012
6868,1009361,110000490772.0,WaferTech LLC,Camas,WA,98607,5509 NW Parker St.,CLARK COUNTY,45.619591,-122.456295,334413,"C,I",Other,139459.9792,13958.5,6.5,6495.208,4588.9772,73491.994,17902.56,8027.24,14989.0,,,,,13972.748,,,,,,125487.2312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012
6954,1000624,110000490558.0,WestRock Tacoma Mill,TACOMA,WA,98421,801 PORTLAND AVE.,PIERCE COUNTY,47.264019,-122.427795,322130,"AA,C",Pulp and Paper,142194.0,120488.0,7700.0,14006.0,,,,,,,,,940615.0,72158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,70036.0,,,,,,,,,,N,N,N,2012
7067,1004918,110005343538.0,YAKIMA CNTY CHEYNE LANDFILL,ZILLAH,WA,98953,4970 CHEYNE ROAD,YAKIMA COUNTY,46.4785,-120.2688,562212,HH,Waste,30500.25,,30500.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30500.25,,,,N,N,N,2012
7068,1004916,110005310868.0,YAKIMA COUNTY TERRACE HTS LANDFILL,YAKIMA,WA,98901,7151 ROZA HILL DRIVE,YAKIMA COUNTY,46.60619,-120.39197,562212,"C,HH",Waste,102487.6,16.1,102471.5,,,,,,,,,,,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102471.5,,,,N,N,N,2012
91,1004236,110007030186.0,AGRIUM US INC - KFO,KENNEWICK,WA,99337,227515 E BOWLES ROAD,BENTON COUNTY,46.165957,-119.017218,325311,"C,U,V",Chemicals,154497.244,7671.0,0.75,146825.494,,,,,,,,,,1493.344,,,,,,,,,,,,,,,,6179.3,146824.6,,,,,,,,,,,,,,,,,,,,N,N,N,2013
134,1003562,110040947820.0,ALCOA INTALCO WORKS,FERNDALE,WA,98248,4050 MOUNTAIN VIEW RD.,WHATCOM COUNTY,48.8455,-122.7055,331312,"C,F,TT","Metals,Waste",1234637.214,428538.8,11351.25,35.164,,794712.0,,,,,,,,62818.464,,,1160497.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11321.75,N,N,N,2013
135,1000635,110000491156.0,ALCOA WENATCHEE LLC,MALAGA,WA,98828,6200 MALAGA HIGHWAY,CHELAN COUNTY,47.3567,-120.1273,331312,"C,F",Metals,318541.702,274639.0,14.75,17.582,,43870.37,,,,,,,,31513.332,,,287028.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2013
189,1004746,110000490763.0,ANALOG DEVICES,CAMAS,WA,98607,4200 NW PACIFIC RIM BLVD,CLARK COUNTY,45.598844,-122.45232,334413,"C,I",Other,25278.5256,1648.0,0.75,1174.418,966.6516,20323.506,1144.56,20.64,,,,,,1649.644,,,,,,23628.8816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2013
302,1002537,110000897085.0,ASH GROVE CEMENT COMPANY-SEATTLE,SEATTLE,WA,98134,3801 EAST MARGINAL WAY SOUTH,KING COUNTY,47.56799,-122.34255,327310,H,Minerals,354807.554,354350.0,294.25,163.304,,,,,,,,,,,,,,,354807.554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2013
366,1007253,110043973055.0,Air Liquide Hydrogen Plant,Anacortes,WA,98221,8581 South Texas Road,SKAGIT COUNTY,48.467675,-122.553982,325120,P,Chemicals,58995.0,58995.0,,,,,,,,,,,,,,,,,,,,,,,58995.0,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2013
489,1000024,110000489659.0,Ardagh Glass Inc. (Seattle),SEATTLE,WA,98134,5801 EAST MARGINAL WAY SOUTH,KING COUNTY,47.551767,-122.337152,327213,"C,N",Minerals,80745.372,80682.9,28.5,33.972,,,,,,,,,,60522.972,,,,,,,,,20222.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2013
644,1002893,110005312713.0,BOISE PAPER,WALLULA,WA,99363,31831 WEST HIGHWAY 12,WALLA WALLA COUNTY,46.10396,-118.9184,322121,"AA,C,PP,TT","Pulp and Paper,Suppliers of CO2,Waste",103709.596,92183.8,8835.75,2690.046,,,,,,,,,727044.9,62089.276,,,,,,,,,,,,,,,,,,,,,,,,,,,33450.07,,,,,,,,,8170.25,N,Y,N,2013
657,1006468,110000490157.0,BP CHERRY POINT REFINERY,BLAINE,WA,98230,4519 GRANDVIEW ROAD,WHATCOM COUNTY,48.884,-122.735,324110,"C,MM-REF,P,PP,Y","Chemicals,Petroleum Product Suppliers,Refineries,Suppliers of CO2",2562296.638,2544800.8,12063.0,5432.838,,,,,,,,,,1297125.088,,,,,,,,,,,711576.0,,,,,,,,,,,,,,553595.55,,,,,,,,,,,,N,Y,N,2013
748,1010722,110000491165.0,Basic American Foods,Moses Lake,WA,98837,538 Potato Frontage Road,GRANT COUNTY,47.075778,-119.222474,311423,C,Other,28290.944,28261.9,13.25,15.794,,,,,,,,,,28290.944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2013
854,1000640,110017406788.0,Boeing Commercial Airplanes - Everett,Everett,WA,98204,3003 West Casino Rd,SNOHOMISH COUNTY,47.923302,-122.273197,336411,C,Other,73643.472,73567.3,34.75,41.422,,,,,,,,,,73643.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2013
1061,1006572,110001919960.0,CERTAINTEED GYPSUM SEATTLE,SEATTLE,WA,98134,5931 E MARGINAL WY S,KING COUNTY,47.547909,-122.337341,327420,C,Minerals,35461.816,35425.1,16.75,19.966,,,,,,,,,,35461.816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2013
1296,1005412,110005365050.0,COWLITZ COUNTY LANDFILL,LONGVIEW,WA,98632,85 TENNANT WAY,COWLITZ COUNTY,46.107229,-122.905601,562212,HH,Waste,19709.0,,19709.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19709.0,,,,N,N,N,2013
1392,1004225,110025339621.0,Cardinal FG Company,Winlock,WA,98596,545 Avery Road West,LEWIS COUNTY,46.5439,-122.9259,327211,"C,N",Minerals,102903.58,102829.6,33.75,40.23,,,,,,,,,,71933.08,,,,,,,,,30970.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2013
1439,1006550,110017403512.0,Cathcart Landfill,SNOHOMISH,WA,98296,8915 Cathcart Way,SNOHOMISH COUNTY,47.870014,-122.118284,562111,"C,HH",Waste,23893.25,256.5,23636.75,,,,,,,,,,,256.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23636.75,,,,N,N,N,2013
1468,1007310,110000490665.0,Centralia,CENTRALIA,WA,98531,913 BIG HANAFORD RD,Lewis,46.7559,-122.8578,221112,"C,D",Power Plants,7547845.454,7488677.4,21643.0,37525.054,,,,,,,,,,454.694,7547390.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2013
1496,1000144,110055650371.0,Chehalis Generation Facility,CHEHALIS,WA,98532,1813 BISHOP ROAD,Lewis,46.6226,-122.9145,221112,"C,D",Power Plants,678982.136,678293.3,314.25,374.586,,,,,,,,,,767.948,678214.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2013
1550,1004053,110000550886.0,City of Spokane Waste-to-Energy,SPOKANE,WA,99224,2900 S GEIGER BLVD,SPOKANE COUNTY,47.626529,-117.504278,562213,C,Waste,104663.236,99262.0,2106.25,3294.986,,,,,,,,,140268.3,104663.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2013
1661,1008999,110000490709.0,Cosmopolis Pulp Mill,Cosmopolis,WA,98537,1701 First St,GRAYS HARBOR COUNTY,46.953543,-123.761737,322110,"AA,C,TT","Pulp and Paper,Waste",26735.14,16676.6,6861.0,3197.54,,,,,,,,,1078626.4,16909.246,,,,,,,,,,,,,,,,,,,,,,,,,,,4750.894,,,,,,,,,5075.0,N,N,N,2013
1678,1008180,110005381942.0,Cowlitz County Headquarters Landfill,Castle Rock,WA,98611,3434 South Silver Lake Road,COWLITZ COUNTY,46.248725,-122.778109,562212,"C,TT","Other,Waste",128504.336,,128502.25,2.086,,,,,,,,,555.5,2.836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128501.5,N,N,N,2013
2037,1003518,110000490816.0,EMERALD KALAMA CHEMICAL LLC,KALAMA,WA,98625,1296 NORTHWEST 3RD STREET,COWLITZ COUNTY,46.02191,-122.85698,325199,C,Chemicals,86403.084,86320.5,35.5,47.084,,,,,,,,,,86403.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2013
2215,1006502,110000490013.0,Encogen Generating Station,Bellingham,WA,98225,915 Cornwall Ave,WHATCOM COUNTY,48.746,-122.486,221112,D,Power Plants,132778.292,132639.1,63.5,75.692,,,,,,,,,,,132778.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2013
2226,1002677,110001916437.0,Enwave Seattle,SEATTLE,WA,98101,1319 WESTERN AVE,KING,47.605772,-122.340619,221330,C,Power Plants,74642.196,74242.2,161.0,238.996,,,,,,,,,14786.6,74642.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2013
2436,1004175,110007346041.0,Frederickson PSE,TACOMA,WA,98446,4714 192ND STREET EAST,PIERCE COUNTY,47.08187,-122.3649,221112,C,Power Plants,34538.23,34504.1,16.25,17.88,,,,,,,,,,34538.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2013
2437,1000301,110005307284.0,Frederickson Power LP,Tacoma,WA,98446,18610 50Th Ave East,Pierce,47.0864,-122.3644,221112,D,Power Plants,328068.284,327735.1,152.0,181.184,,,,,,,,,,,328068.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2013
2438,1004066,110001917007.0,Fredonia Generating Station,Mount Vernon,WA,98273,13085 Ball Road,SKAGIT COUNTY,48.4553,-122.435,221112,"C,D",Power Plants,82399.174,82311.1,39.5,48.574,,,,,,,,,,75040.35,7358.824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2013
2524,1005998,110000564586.0,GEORGIA-PACIFIC CONSUMER OPERATIONS LLC,CAMAS,WA,98607,401 NE ADAMS STREET,CLARK COUNTY,45.582929,-122.407758,322121,"AA,C,PP,TT","Pulp and Paper,Suppliers of CO2,Waste",166735.944,153912.6,10803.5,2019.844,,,,,,,,,535823.4,112317.93,,,,,,,,,,,,,,,,,,,,,,,,,,,44140.014,,,,,,,,,10278.0,N,Y,N,2013
2529,1005059,110000902300.0,GEORGIA-PACIFIC GYPSUM LLC,TACOMA,WA,98421,1240 ALEXANDER AVENUE,PIERCE COUNTY,47.269558,-122.394869,327420,C,Minerals,45052.58,45006.0,21.25,25.33,,,,,,,,,,45052.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2013
2570,1001436,110041171086.0,GOLDENDALE GENERATING STATION,GOLDENDALE,WA,98620,600 INDUSTRIAL WAY,KLICKITAT COUNTY,45.8114,-120.833,221112,D,Power Plants,544865.78,544312.3,252.5,300.98,,,,,,,,,,,544865.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2013
2573,1000363,110000547668.0,"GOODRICH SPOKANE LANDING SYSTEMS, CARBON PRODUCTS",SPOKANE,WA,99224,11135 W WESTBOW BLVD,SPOKANE COUNTY,47.583604,-117.568511,336413,C,Other,27973.844,27944.8,13.25,15.794,,,,,,,,,,27973.844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2013
2593,1007160,110063281434.0,GRANT CNTY EPHRATA LANDFILL 1,EPHRATA,WA,98823,3803 Neva Lake Rd. NW,GRANT COUNTY,47.26597,-119.55494,562212,HH,Waste,38883.25,,38883.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38883.25,,,,N,N,N,2013
2603,1002920,110020663575.0,GRAYMONT WESTERN US INC,TACOMA,WA,98421,1220 ALEXANDER AVENUE,PIERCE COUNTY,47.271365,-122.397262,327410,"C,S",Minerals,92862.068,92722.6,52.75,86.718,,,,,,,,,,34290.968,,,,,,,,,,,,,,58571.1,,,,,,,,,,,,,,,,,,,,,,,Y,N,N,2013
2673,1004773,110006459643.0,Gas Transmission Northwest Pipeline Rosalia CS#6,ROSALIA,WA,99170,EAST 315 BABB ROAD,SPOKANE COUNTY,47.277262,-117.406708,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,86777.596,80718.8,6013.5,45.296,,,,,,,,,,80796.696,,,,,,,,,,,,,,,,,,,,5980.9,,,,,,,,,,,,,,,,,N,N,N,2013
2675,1004775,110005320955.0,Gas Transmission Northwest Pipeline Wallula CS#8,WALLULA,WA,99363,638 LAMBDIN RD,WALLA WALLA COUNTY,46.053153,-118.843934,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,100354.442,94963.6,5337.5,53.342,,,,,,,,,,95056.892,,,,,,,,,,,,,,,,,,,,5297.55,,,,,,,,,,,,,,,,,N,N,N,2013
2774,1000207,110012561021.0,Grays Harbor Energy Center,Elma,WA,98541,401 Keys Rd,GRAYS HARBOR COUNTY,46.9688,-123.48,221112,"C,D",Power Plants,579560.952,578972.4,268.5,320.052,,,,,,,,,,464.548,579096.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2013
3041,1004384,110012556894.0,Hidden Valley Landfill,Puyallup,WA,98375,17925 Meridian Street East,PIERCE COUNTY,47.095,-122.2878,562212,HH,Waste,6710.75,,6710.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6710.75,,,,N,N,N,2013
3090,1007090,110037069720.0,Horn Rapids Landfill,Richland,WA,99352,3102 Twin Bridges Road,BENTON COUNTY,46.3432,-119.346,562212,HH,Waste,28387.0,,28387.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28387.0,,,,N,N,N,2013
3175,1003745,110000491502.0,INLAND EMPIRE PAPER,SPOKANE,WA,99212,3320 N. ARGONNE,SPOKANE COUNTY,47.687784,-117.27887,322122,C,Pulp and Paper,9907.49,9500.9,159.25,247.34,,,,,,,,,18130.8,9907.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2013
3296,1002804,110000491655.0,J R SIMPLOT CO,OTHELLO,WA,99344,1201 N BROADWAY AVE,ADAMS COUNTY,46.837778,-119.176389,311411,"C,II","Other,Waste",87106.278,45907.9,41172.75,25.628,,,,,,,,,,45955.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41151.25,,,N,N,N,2013
3302,1002832,110040626702.0,J. R. Simplot Co.,Moses Lake,WA,98837,14124 Wheeler Road NE,GRANT COUNTY,47.131732,-119.18926,311411,"C,II","Other,Waste",33623.98,27991.9,5606.75,25.33,,,,,,,,,2684.0,28034.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5589.5,,,N,N,N,2013
3457,1007822,110001916810.0,KING CNTY SOLID WST CEDAR HILLS LANDFILL,MAPLE VALLEY,WA,98038,16645 228TH AVENUE SE,KING COUNTY,47.462625,-122.046025,562212,"C,HH",Waste,2719.046,220.2,2498.25,0.596,,,,,,,,,,221.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2498.0,,,,N,N,N,2013
3488,1002056,110043786285.0,Kaiser Aluminum Washington,Spokane Valley,WA,99216,15000 E Euclid Ave,SPOKANE COUNTY,47.687074,-117.212673,331315,C,Metals,110966.032,110851.5,52.25,62.282,,,,,,,,,,110966.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2013
3572,1000607,110000491619.0,LAMB WESTON,CONNELL,WA,99326,811 GUM STREET,FRANKLIN COUNTY,46.651389,-118.871944,311411,C,Other,39841.0,39799.9,18.75,22.35,,,,,,,,,,39841.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2013
3574,1000611,110000491593.0,LAMB WESTON INC. PASCO,PASCO,WA,99301,960 GLADE ROAD NORTH,FRANKLIN COUNTY,46.288137,-119.115336,311411,C,Other,49844.012,49792.5,23.5,28.012,,,,,,,,,,49844.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2013
3586,1004679,110001920636.0,LAND RECOVERY LANDFILL INDUST,GRAHAM,WA,98338,30919 MERIDIAN STREET EAST,PIERCE COUNTY,46.972405,-122.292799,562212,HH,Waste,49566.75,,49566.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49566.75,,,,N,N,N,2013
3714,1000613,110015451125.0,Lamb Weston Inc,Quincy,WA,98848,1005 E Street SW,GRANT COUNTY,47.234413,-119.869914,311411,C,Other,39845.798,39804.4,18.75,22.648,,,,,,,,,,39845.798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2013
3715,1000614,110000491682.0,Lamb Weston Inc.,RICHLAND,WA,99352,2013 SAINT STREET,BENTON COUNTY,46.309388,-119.297683,311411,C,Other,34224.772,34189.7,16.0,19.072,,,,,,,,,,34224.772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2013
3883,1002287,110000572194.0,MCCAIN FOODS USA INC,OTHELLO,WA,99344,100 LEE STREET,ADAMS COUNTY,46.839167,-119.174722,311411,"C,II","Other,Waste",89214.86,37044.0,52150.0,20.86,,,,,,,,,,37082.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52132.5,,,N,N,N,2013
4106,1010969,110070082108.0,Matheson - Anacortes Hydrogen Plant,Anacortes,WA,98221,8529 South Texas Road,SKAGIT COUNTY,48.465891,-122.565397,325120,P,Chemicals,41885.0,41885.0,,,,,,,,,,,,,,,,,,,,,,,41885.0,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2013
4224,1001435,110036123469.0,Mint Farm Generation Station,Longview,WA,98632,1200 Prudential Blvd,COWLITZ COUNTY,46.1403,-122.9842,221112,D,Power Plants,633492.552,632849.2,293.5,349.852,,,,,,,,,,,633492.552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2013
4414,1006360,110000490898.0,NIPPON DYNAWAVE PACKAGING,LONGVIEW,WA,98632,3401 INDUSTRIAL WAY,COWLITZ COUNTY,46.122749,-122.974048,322122,"AA,C",Pulp and Paper,359557.54,349893.1,3583.75,6080.69,,,,,,,,,1193366.4,312807.332,,,,,,,,,,,,,,,,,,,,,,,,,,,46750.208,,,,,,,,,,N,N,N,2013
4452,1007258,110014013174.0,NORTHSIDE LANDFILL,SPOKANE,WA,99208,7202 N NINE MILE RD,SPOKANE COUNTY,47.7275,-117.4828,562212,HH,Waste,9882.5,,9882.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9882.5,,,,N,N,N,2013
4460,1007092,110001916936.0,NORTHWEST PIPELINE GP - SNOHOMISH C/S,Snohomish,WA,98390,22902 Echo Lake Road,SNOHOMISH COUNTY,47.78943,-122.05728,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,33173.378,32565.7,589.5,18.178,,,,,,,,,,32598.428,,,,,,,,,,,,,,,,,,,,574.95,,,,,,,,,,,,,,,,,N,N,N,2013
4462,1009017,110055515624.0,NORTHWEST PIPELINE GP GOLDENDALE C/S,Goldendale,WA,99322,120 Hoctor Road,KLICKITAT COUNTY,45.771216,-120.799267,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,35892.688,29935.5,5940.5,16.688,,,,,,,,,,29959.288,,,,,,,,,,,,,,,,,,,,5933.4,,,,,,,,,,,,,,,,,N,N,N,2013
4464,1009161,110001917016.0,NORTHWEST PIPELINE GP MT. VERNON,Mt. Vernon,WA,98295,1539 Lange Road,SKAGIT COUNTY,48.421925,-122.215387,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,27885.812,23329.2,4543.5,13.112,,,,,,,,,,23348.012,,,,,,,,,,,,,,,,,,,,4537.8,,,,,,,,,,,,,,,,,N,N,N,2013
4465,1009019,,NORTHWEST PIPELINE GP ROOSEVELT C/S,Bickleton,WA,99322,652 Sixprong Road,,45.9034459,-120.213925,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,28674.856,25056.1,3604.75,14.006,,,,,,,,,,25077.656,,,,,,,,,,,,,,,,,,,,3597.2,,,,,,,,,,,,,,,,,N,N,N,2013
4466,1007513,110001917034.0,NORTHWEST PIPELINE GP SUMAS C/S,SUMAS,WA,98295,4738 JONES RD,WHATCOM COUNTY,49.001,-122.2214,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,76727.88,71661.9,5025.75,40.23,,,,,,,,,,71729.98,,,,,,,,,,,,,,,,,,,,4997.9,,,,,,,,,,,,,,,,,N,N,N,2013
4467,1009215,110001916856.0,NORTHWEST PIPELINE GP WASHOUGAL C/S,Washougal,WA,98671,1309 NE Brown Road,CLARK COUNTY,45.63236,-122.36516,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,25392.822,20513.7,4867.5,11.622,,,,,,,,,,20529.272,,,,,,,,,,,,,,,,,,,,4863.55,,,,,,,,,,,,,,,,,N,N,N,2013
4468,1009016,110055515615.0,NORTHWEST PIPELINE GP WILLARD C/S,Cook,WA,98605,Willard Rd. Milepost 1,SKAMANIA COUNTY,45.7769,-121.626,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,27865.91,23744.0,4108.5,13.41,,,,,,,,,,23763.86,,,,,,,,,,,,,,,,,,,,4102.05,,,,,,,,,,,,,,,,,N,N,N,2013
4496,1000029,110015969941.0,NUCOR STEEL SEATTLE INC,SEATTLE,WA,98106,2424 SOUTHWEST ANDOVER STREET,KING COUNTY,47.569331,-122.367332,331111,"C,Q",Metals,128707.52,128671.9,16.25,19.37,,,,,,,,,,34678.52,,,,,,,,,,,,94029.0,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2013
4519,1001816,110006894833.0,Naval Base Kitsap Bremerton,Bremerton,WA,98314,120 South Dewey Street,KITSAP COUNTY,47.559166,-122.647222,488310,C,Other,46550.618,46501.0,22.5,27.118,,,,,,,,,,46550.618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2013
4688,1003586,110005325503.0,OLYMPIC VIEW SANITARY LANDFILL INC,PORT ORCHARD,WA,98367,10015 SOUTHWEST BARNEY WHITE ROAD,KITSAP COUNTY,47.50473,-122.78081,562212,HH,Waste,1864.0,,1864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1864.0,,,,N,N,N,2013
4906,1008018,110000490139.0,PHILLIPS 66 FERNDALE REFINERY,FERNDALE,WA,98248,3901 UNICK ROAD,WHATCOM COUNTY,48.830142,-122.692114,324110,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",769015.32,765664.0,1462.0,1889.32,,,,,,,,,,423473.03,,,,,,,,,,,,,,,,,,,,,,,,,345542.29,,,,,,,,,,,,N,N,N,2013
4977,1005732,110000490326.0,PORT TOWNSEND PAPER CORP,PORT TOWNSEND,WA,98368,100 MILL ROAD,JEFFERSON COUNTY,48.093793,-122.796806,322121,"AA,C",Pulp and Paper,77703.98,72914.5,1806.5,2982.98,,,,,,,,,478000.0,26510.71,,,,,,,,,,,,,,,,,,,,,,,,,,,51193.27,,,,,,,,,,N,N,N,2013
5034,1000001,110000490166.0,PSE Ferndale Generating Station,FERNDALE,WA,98248,5105 LAKE TERRELL ROAD,WHATCOM COUNTY,48.828707,-122.685533,221112,D,Power Plants,395314.784,394913.1,183.25,218.434,,,,,,,,,,,395314.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2013
5037,1004176,110009513133.0,PUGET POWER ENERGY-WHITEHORN GEN.STATION,BLAINE,WA,98230,4930 BROWN RD.,WHATCOM COUNTY,48.886533,-122.753527,221112,C,Power Plants,28668.85,28640.2,13.75,14.9,,,,,,,,,,28668.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2013
5038,1004367,110056580481.0,PUGET SOUND ENERGY - SUMAS,SUMAS,WA,98295,1340 THOMPSON LANE,WHATCOM COUNTY,48.9905,-122.2733,221112,D,Power Plants,250237.896,249976.5,119.25,142.146,,,,,,,,,,,250237.896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2013
5265,1007200,110000601590.0,REC SOLAR GRADE SILICON,MOSES LAKE,WA,98837,3322 ROAD N NE,GRANT COUNTY,47.138359,-119.200383,331419,C,Metals,140681.42,140536.2,66.25,78.97,,,,,,,,,,140681.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2013
5278,1010870,110030452506.0,"REG Grays Harbor, LLC",Hoquiam,WA,98550,3122 Port Industrial Road,GRAYS HARBOR COUNTY,46.968086,-123.854139,325199,C,Chemicals,11058.108,11046.6,5.25,6.258,,,,,,,,,,11058.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2013
5322,1003676,110001917436.0,ROOSEVELT REGIONAL LANDFILL,ROOSEVELT,WA,99356,500 ROOSEVELT GRADE ROAD,KLICKITAT COUNTY,45.802,-120.182,562212,"C,HH",Waste,282980.646,207.3,282772.75,0.596,,,,,,,,,,208.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282772.5,,,,N,N,N,2013
