,Plant Id,Plant Name,Operator Name,Operator Id,Plant State,Census Region,NERC Region,NAICS Code,Sector Name,Reported Fuel Type Code,AER Fuel Type Code,Physical Unit Label,Total Fuel Consumption Quantity,Electric Fuel Consumption Quantity,Total Fuel Consumption MMBtu,Elec Fuel Consumption MMBtu,Net Generation (Megawatthours),year
4538,7511,McNary Dam Fish Attraction Project,Northern Wasco County PUD,13788,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,729435,729435,76702.0,2014
4580,7588,H M Jackson,PUD 1 of Snohomish County,17470,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,4891333,4891333,514335.69,2014
4587,7605,River Road Gen Plant,PUD No 1 of Clark County - (WA),3660,WA,PACC,WECC,22,Electric Utility,NG,NG,mcf,11034104,11034104,11537421,11537421,1577119.0,2014
4694,7832,Roosevelt Biogas 1,PUD No 1 of Klickitat County,10393,WA,PACC,WECC,22,Electric Utility,LFG,MLG,mcf,0,0,0,0,23298.0,2014
4695,7832,Roosevelt Biogas 1,PUD No 1 of Klickitat County,10393,WA,PACC,WECC,22,Electric Utility,WH,OTH,,0,0,0,0,0.0,2014
4696,7832,Roosevelt Biogas 1,PUD No 1 of Klickitat County,10393,WA,PACC,WECC,22,Electric Utility,LFG,MLG,mcf,3125905,3125905,1875544,1875544,128361.0,2014
4697,7832,Roosevelt Biogas 1,PUD No 1 of Klickitat County,10393,WA,PACC,WECC,22,Electric Utility,WH,OTH,,0,0,0,0,0.0,2014
4698,7832,Roosevelt Biogas 1,PUD No 1 of Klickitat County,10393,WA,PACC,WECC,22,Electric Utility,LFG,MLG,mcf,0,0,0,0,0.0,2014
4751,7867,Snoqualmie 2,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,1346635,1346635,141602.0,2014
4755,7870,Encogen,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,Electric Utility,DFO,DFO,barrels,0,0,0,0,99.938,2014
4756,7870,Encogen,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,Electric Utility,NG,NG,mcf,0,0,0,0,69293.062,2014
4757,7870,Encogen,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,Electric Utility,DFO,DFO,barrels,555,555,3218,3218,227.011,2014
4758,7870,Encogen,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,Electric Utility,NG,NG,mcf,1938043,1938043,2038822,2038822,150022.99,2014
4823,7936,Nine Canyon,Energy Northwest,20160,WA,PACC,WECC,22,Electric Utility,WND,WND,,0,0,2323035,2323035,244273.0,2014
4875,7999,Grays Harbor Energy Facility,Invenergy Services LLC,49893,WA,PACC,WECC,22,Electric Utility,NG,NG,mcf,0,0,0,0,588039.0,2014
4876,7999,Grays Harbor Energy Facility,Invenergy Services LLC,49893,WA,PACC,WECC,22,Electric Utility,NG,NG,mcf,12000300,12000300,12587359,12587359,1117348.0,2014
4899,8022,Boulder Park,Avista Corp,20169,WA,PACC,WECC,22,Electric Utility,NG,NG,mcf,138582,138582,141353,141353,14811.0,2014
5042,9095,Monroe Street,Avista Corp,20169,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,977391,977391,102775.0,2014
5043,9096,Upper Falls,Avista Corp,20169,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,637483,637483,67033.0,2014
5047,9842,Newhalem,City of Seattle - (WA),16868,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,0,0,-82.0,2014
6040,50091,Sheep Creek Hydro,Sheep Creek Hydro Inc,16990,WA,PACC,WECC,22,NAICS-22 Non-Cogen,WAT,HYC,,0,0,74547,74547,7839.0,2014
6184,50228,Rocky Brook Hydroelectric,Rocky Brook Electric Inc,22614,WA,PACC,WECC,22,NAICS-22 Non-Cogen,WAT,HYC,,0,0,18840,18840,1981.0,2014
6365,50380,Upriver Dam Hydro Plant,Spokane City of,42892,WA,PACC,WECC,22,NAICS-22 Non-Cogen,WAT,HYC,,0,0,440094,440094,46277.0,2014
6366,50382,Twin Reservoirs,Walla Walla City of,20032,WA,PACC,WECC,22,NAICS-22 Non-Cogen,WAT,HYC,,0,0,112464,112464,11826.0,2014
6429,50421,Orchard Avenue 1,Yakima-Tieton Irrigation Dist,21086,WA,PACC,WECC,22,NAICS-22 Non-Cogen,WAT,HYC,,0,0,31934,31934,3358.0,2014
6430,50423,Cowiche,Yakima-Tieton Irrigation Dist,21086,WA,PACC,WECC,22,NAICS-22 Non-Cogen,WAT,HYC,,0,0,43005,43005,4522.0,2014
6809,50827,Twin Falls Hydro,Twin Falls Hydro Associates LP,19314,WA,PACC,WECC,22,NAICS-22 Non-Cogen,WAT,HYC,,0,0,880236,880236,92559.0,2014
6880,50886,Wheelabrator Spokane,Spokane City of,42892,WA,PACC,WECC,22,NAICS-22 Non-Cogen,MSB,MLG,short tons,166244,166244,1377773,1377773,67687.813,2014
6881,50886,Wheelabrator Spokane,Spokane City of,42892,WA,PACC,WECC,22,NAICS-22 Non-Cogen,MSN,OTH,short tons,93516,93516,1323738,1323738,65033.187,2014
7400,54267,Koma Kulshan Associates,Covanta Hydro Ops West Inc,4436,WA,PACC,WECC,22,NAICS-22 Non-Cogen,WAT,HYC,,0,0,465124,465124,48909.0,2014
7401,54268,March Point Cogeneration,March Point Cogeneration Co,11459,WA,PACC,WECC,22,NAICS-22 Cogen,DFO,DFO,barrels,0,0,0,0,0.0,2014
7402,54268,March Point Cogeneration,March Point Cogeneration Co,11459,WA,PACC,WECC,22,NAICS-22 Cogen,JF,WOO,barrels,0,0,0,0,0.0,2014
7403,54268,March Point Cogeneration,March Point Cogeneration Co,11459,WA,PACC,WECC,22,NAICS-22 Cogen,NG,NG,mcf,0,0,0,0,2.412,2014
7404,54268,March Point Cogeneration,March Point Cogeneration Co,11459,WA,PACC,WECC,22,NAICS-22 Cogen,OG,OOG,mcf,37,10,38,10,1.468,2014
7405,54268,March Point Cogeneration,March Point Cogeneration Co,11459,WA,PACC,WECC,22,NAICS-22 Cogen,DFO,DFO,barrels,0,0,0,0,0.0,2014
7406,54268,March Point Cogeneration,March Point Cogeneration Co,11459,WA,PACC,WECC,22,NAICS-22 Cogen,JF,WOO,barrels,0,0,0,0,0.0,2014
7407,54268,March Point Cogeneration,March Point Cogeneration Co,11459,WA,PACC,WECC,22,NAICS-22 Cogen,NG,NG,mcf,8398715,3950469,8628534,4061216,666168.67,2014
7408,54268,March Point Cogeneration,March Point Cogeneration Co,11459,WA,PACC,WECC,22,NAICS-22 Cogen,OG,OOG,mcf,4172149,1960884,4365986,2053704,336930.33,2014
7503,54387,Weeks Falls,CHI West Inc,3682,WA,PACC,WECC,22,NAICS-22 Non-Cogen,WAT,HYC,,0,0,156029,156029,16407.0,2014
7581,54476,Sumas Power Plant,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,Electric Utility,NG,NG,mcf,0,0,0,0,133035.0,2014
7582,54476,Sumas Power Plant,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,Electric Utility,NG,NG,mcf,3781303,3335191,3977930,3508621,313030.0,2014
7609,54537,Ferndale Generating Station,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,Electric Utility,DFO,DFO,barrels,0,0,0,0,20.846,2014
7610,54537,Ferndale Generating Station,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,Electric Utility,NG,NG,mcf,91615,91615,95078,95078,225711.15,2014
7611,54537,Ferndale Generating Station,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,Electric Utility,DFO,DFO,barrels,98,88,578,519,46.12,2014
7612,54537,Ferndale Generating Station,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,Electric Utility,NG,NG,mcf,5801729,5121880,6017425,5311994,497273.88,2014
7935,54860,Black Creek,Black Creek Hydro Inc,1784,WA,PACC,WECC,22,NAICS-22 Non-Cogen,WAT,HYC,,0,0,134031,134031,14093.64,2014
8569,55482,Goldendale Generating Station,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,Electric Utility,NG,NG,mcf,120572,120572,125126,125126,355920.0,2014
8570,55482,Goldendale Generating Station,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,Electric Utility,NG,NG,mcf,6909107,6909107,7164994,7164994,649203.0,2014
8624,55560,FPL Energy Vansycle LLC (WA),FPL Energy Vansycle LLC,6607,WA,PACC,WECC,22,NAICS-22 Non-Cogen,WND,WND,,0,0,3495820,3495820,367594.0,2014
8704,55662,Chehalis Generating Facility,PacifiCorp,14354,WA,PACC,WECC,22,Electric Utility,DFO,DFO,barrels,0,0,0,0,0.0,2014
8705,55662,Chehalis Generating Facility,PacifiCorp,14354,WA,PACC,WECC,22,Electric Utility,NG,NG,mcf,0,0,0,0,864070.0,2014
8706,55662,Chehalis Generating Facility,PacifiCorp,14354,WA,PACC,WECC,22,Electric Utility,DFO,DFO,barrels,0,0,0,0,0.0,2014
8707,55662,Chehalis Generating Facility,PacifiCorp,14354,WA,PACC,WECC,22,Electric Utility,NG,NG,mcf,18770352,18770352,19639404,19639404,1679715.0,2014
8725,55700,Mint Farm Generating Station,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,Electric Utility,NG,NG,mcf,270770,270770,280959,280959,458546.0,2014
8726,55700,Mint Farm Generating Station,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,Electric Utility,NG,NG,mcf,8664000,8664000,8986076,8986076,830365.0,2014
8794,55818,Frederickson Power LP,Frederickson Power LP,56613,WA,PACC,WECC,22,NAICS-22 Non-Cogen,NG,NG,mcf,18895,18895,19917,19917,289449.0,2014
8795,55818,Frederickson Power LP,Frederickson Power LP,56613,WA,PACC,WECC,22,NAICS-22 Non-Cogen,NG,NG,mcf,4747505,4747505,4985887,4985887,408644.0,2014
8907,56017,Franklin/Grays,PUD No 1 of Franklin County,6716,WA,PACC,WECC,22,Electric Utility,NG,NG,mcf,0,0,0,0,0.0,2014
9134,56255,Hopkins Ridge Wind,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,Electric Utility,WND,WND,,0,0,4310113,4310113,453219.0,2014
9197,56322,Wild Horse,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,Electric Utility,SUN,SUN,,0,0,6932,6932,729.0,2014
9198,56322,Wild Horse,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,Electric Utility,WND,WND,,0,0,6179921,6179921,649834.0,2014
9233,56361,Big Horn Wind Project,Iberdrola Renewables Inc,15399,WA,PACC,WECC,22,NAICS-22 Non-Cogen,WND,WND,,0,0,4919256,4919256,517272.0,2014
9319,56466,Marengo Wind Plant,PacifiCorp,14354,WA,PACC,WECC,22,Electric Utility,WND,WND,,0,0,5157322,5157322,542305.0,2014
9345,56487,White Creek Wind Farm,White Creek Wind 1 LLC,55907,WA,PACC,WECC,22,NAICS-22 Non-Cogen,WND,WND,,0,0,5177843,5177843,544463.0,2014
9521,56666,Goodnoe Hills,PacifiCorp,14354,WA,PACC,WECC,22,Electric Utility,WND,WND,,0,0,2061408,2061408,216762.0,2014
9558,56694,Russell D Smith,Grand Coulee Project Hydroelectric Auth,55939,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,153529,153529,16144.0,2014
9559,56695,Summer Falls Power Plant,Grand Coulee Project Hydroelectric Auth,55939,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,3864225,3864225,406333.0,2014
9560,56696,Eltopia Branch Canal 4.6,Grand Coulee Project Hydroelectric Auth,55939,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,57507,57507,6047.0,2014
9561,56697,Potholes East Canal 66.0,Grand Coulee Project Hydroelectric Auth,55939,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,78696,78696,8275.0,2014
9562,56698,Main Canal Headworks,Grand Coulee Project Hydroelectric Auth,55939,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,1028584,1028584,108158.0,2014
9566,56702,Tuolumne Wind Project,Turlock Irrigation District,19281,WA,PACC,WECC,22,Electric Utility,WND,WND,,0,0,3681577,3681577,387127.0,2014
9685,56858,Sagebrush Power Partners,"Sagebrush Power Partners, LLC",56071,WA,PACC,WECC,22,NAICS-22 Non-Cogen,WND,WND,,0,0,2506066,2506066,263519.0,2014
9969,57152,Harvest Wind Project,Harvest Wind Project TIC,56499,WA,PACC,WECC,22,NAICS-22 Non-Cogen,WND,WND,,0,0,2372944,2372944,249521.0,2014
9972,57159,Windy Flats Wind Project,Windy Flats Partners LLC,56514,WA,PACC,WECC,22,NAICS-22 Non-Cogen,WND,WND,,0,0,6245483,6245483,656728.0,2014
9995,57188,Vantage Wind Energy LLC,Invenergy Services LLC,49893,WA,PACC,WECC,22,NAICS-22 Non-Cogen,WND,WND,,0,0,2494359,2494359,262288.0,2014
10001,57195,Lower Snake River Wind Energy Project,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,Electric Utility,WND,WND,,0,0,8327489,8327489,875656.0,2014
10080,57298,Cedar Hills,Industrial Power Generating Company LLC,55938,WA,PACC,WECC,22,NAICS-22 Non-Cogen,DFO,DFO,barrels,2816,2816,16391,16391,1804.085,2014
10081,57298,Cedar Hills,Industrial Power Generating Company LLC,55938,WA,PACC,WECC,22,NAICS-22 Non-Cogen,LFG,MLG,mcf,404025,404025,206055,206055,22681.915,2014
10097,57319,Big Horn Wind II,Iberdrola Renewables Inc,15399,WA,PACC,WECC,22,NAICS-22 Non-Cogen,WND,WND,,0,0,1200980,1200980,126286.0,2014
10098,57320,Juniper Canyon I Wind Project,Iberdrola Renewables Inc,15399,WA,PACC,WECC,22,NAICS-22 Non-Cogen,WND,WND,,0,0,3222417,3222417,338845.0,2014
10244,57496,Tieton Dam Hydro Electric Project,City of Burbank Water and Power,2507,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,609848,609848,64127.0,2014
10271,57530,Palouse,"First Wind O&M, LLC",59155,WA,PACC,WECC,22,NAICS-22 Non-Cogen,WND,WND,,0,0,3188533,3188533,335282.0,2014
10344,57635,Linden Wind Energy Project,Los Angeles Department of Water & Power,11208,WA,PACC,WECC,22,Electric Utility,WND,WND,,0,0,1402489,1402489,147475.0,2014
10461,57756,Coastal Energy Project,Coastal Community Action Program,57066,WA,PACC,WECC,22,NAICS-22 Non-Cogen,WND,WND,,0,0,154727,154727,16270.0,2014
10468,57763,Youngs Creek Hydroelectric Project,PUD 1 of Snohomish County,17470,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,204940,204940,21550.0,2014
11190,58441,Swauk Wind LLC,Gamesa Wind US LLC,58430,WA,PACC,WECC,22,NAICS-22 Non-Cogen,WND,WND,,0,0,106656,106656,11215.0,2014
11397,58688,LRI LFGTE Facility,BioFuels Washington LLC,58619,WA,PACC,WECC,22,NAICS-22 Non-Cogen,LFG,MLG,mcf,808553,808553,423682,423682,36677.0,2014
11399,58696,Nooksack Hydro,Puget Sound Hydro LLC,58627,WA,PACC,WECC,22,NAICS-22 Non-Cogen,WAT,HYC,,0,0,237960,237960,25022.0,2014
99,99,Frederickson,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,Electric Utility,DFO,DFO,barrels,40,40,237,237,10.897,2015
100,99,Frederickson,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,Electric Utility,NG,NG,mcf,838286,838286,861759,861759,39924.103,2015
332,371,Columbia Generating Station,Energy Northwest,20160,WA,PACC,WECC,22,Electric Utility,NUC,NUC,,0,0,85350879,85350879,8160912.0,2015
540,550,Kettle Falls Generating Station,Avista Corp,20169,WA,PACC,WECC,22,Electric Utility,NG,NG,mcf,48097,48097,49921,49921,4141.0,2015
541,550,Kettle Falls Generating Station,Avista Corp,20169,WA,PACC,WECC,22,Electric Utility,NG,NG,mcf,4344,4344,4501,4501,267.666,2015
542,550,Kettle Falls Generating Station,Avista Corp,20169,WA,PACC,WECC,22,Electric Utility,WDS,WWW,short tons,521529,521529,4682510,4682510,320249.33,2015
606,607,Fredonia,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,Electric Utility,DFO,DFO,barrels,1645,1645,9623,9623,776.211,2015
607,607,Fredonia,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,Electric Utility,NG,NG,mcf,1864949,1864949,2002210,2002210,160672.79,2015
644,622,South Fork Tolt,City of Seattle - (WA),16868,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,455205,455205,48847.0,2015
928,917,Quincy Chute,PUD No 2 of Grant County,14624,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,360915,360915,38729.0,2015
3284,3845,Transalta Centralia Generation,TransAlta Centralia Gen LLC,19099,WA,PACC,WECC,22,NAICS-22 Non-Cogen,DFO,DFO,barrels,14025,14025,84150,84150,7429.273,2015
3285,3845,Transalta Centralia Generation,TransAlta Centralia Gen LLC,19099,WA,PACC,WECC,22,NAICS-22 Non-Cogen,SUB,COL,short tons,3289825,3289825,54445621,54445621,4846034.6,2015
3286,3845,Transalta Centralia Generation,TransAlta Centralia Gen LLC,19099,WA,PACC,WECC,22,NAICS-22 Non-Cogen,WC,WOC,short tons,115272,115272,1906675,1906675,169913.16,2015
3287,3847,Merwin,PacifiCorp,14354,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,3716762,3716762,398837.0,2015
3288,3850,Swift 1,PacifiCorp,14354,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,5437871,5437871,583525.0,2015
3289,3852,Yale,PacifiCorp,14354,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,4492382,4492382,482067.0,2015
3290,3853,Crystal Mountain,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,Electric Utility,DFO,DFO,barrels,588,588,3457,3457,294.0,2015
3291,3854,Electron,Electron Hydro LLC,59866,WA,PACC,WECC,22,NAICS-22 Non-Cogen,WAT,HYC,,0,0,585531,585531,62832.0,2015
3292,3855,Lower Baker,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,2875948,2875948,308611.0,2015
3293,3860,Snoqualmie,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,166334,166334,17849.0,2015
3294,3861,Upper Baker,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,2597672,2597672,278750.0,2015
3295,3866,Little Falls (WA),Avista Corp,20169,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,1375503,1375503,147602.0,2015
3296,3867,Long Lake,Avista Corp,20169,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,3675321,3675321,394390.0,2015
3297,3868,Meyers Falls,Hydro Technology Systems Inc,9143,WA,PACC,WECC,22,NAICS-22 Non-Cogen,WAT,HYC,,0,0,70693,70693,7586.0,2015
3298,3869,Nine Mile,Avista Corp,20169,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,623348,623348,66890.0,2015
3299,3878,Yelm,City of Centralia - (WA),3295,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,646030,646030,69324.0,2015
3300,3883,Rocky Reach,PUD No 1 of Chelan County,3413,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,55431594,55431594,5948234.0,2015
3301,3886,Wells,PUD No 1 of Douglas County,5326,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,40118424,40118424,4305014.0,2015
3302,3887,Priest Rapids,PUD No 2 of Grant County,14624,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,43023251,43023251,4616724.0,2015
3303,3888,Wanapum,PUD No 2 of Grant County,14624,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,46581766,46581766,4998580.0,2015
3304,3891,Box Canyon,PUD No 1 of Pend Oreille County,14653,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,4726932,4726932,507236.0,2015
3306,3913,Alder,City of Tacoma  - (WA),18429,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,1782567,1782567,191283.0,2015
3307,3914,Cushman 1,City of Tacoma  - (WA),18429,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,998065,998065,107100.0,2015
3308,3915,Cushman 2,City of Tacoma  - (WA),18429,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,1526574,1526574,163813.0,2015
3309,3916,LaGrande,City of Tacoma  - (WA),18429,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,2970758,2970758,318785.0,2015
3310,3917,Mayfield,City of Tacoma  - (WA),18429,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,5788060,5788060,621103.0,2015
3311,3918,Mossyrock,City of Tacoma  - (WA),18429,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,9380245,9380245,1006572.0,2015
3312,3921,Chief Joseph,USACE Northwestern Division,19400,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,106817136,106817136,11462296.0,2015
3313,3925,Ice Harbor,USACE Northwestern Division,19400,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,13412834,13412834,1439300.0,2015
3314,3926,Little Goose,USACE Northwestern Division,19400,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,15929162,15929162,1709321.0,2015
3315,3927,Lower Monumental,USACE Northwestern Division,19400,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,15284044,15284044,1640095.0,2015
3316,3929,Packwood,Energy Northwest,20160,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,817482,817482,87722.0,2015
3721,6120,Whitehorn,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,Electric Utility,DFO,DFO,barrels,1093,1093,6425,6425,365.616,2015
3722,6120,Whitehorn,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,Electric Utility,NG,NG,mcf,657977,657977,674426,674426,38367.384,2015
3776,6163,Grand Coulee,U S Bureau of Reclamation,2518,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,175556933,175556933,18838602.0,2015
3777,6163,Grand Coulee,U S Bureau of Reclamation,2518,WA,PACC,WECC,22,Electric Utility,WAT,HPS,megawatthours,5715,5715,0,0,40021.0,2015
3793,6175,Lower Granite,USACE Northwestern Division,19400,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,15828406,15828406,1698509.0,2015
3824,6200,Rock Island,PUD No 1 of Chelan County,3413,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,25576367,25576367,2744540.0,2015
3825,6202,Ross,City of Seattle - (WA),16868,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,6362938,6362938,682792.0,2015
3831,6210,Northeast (WA),Avista Corp,20169,WA,PACC,WECC,22,Electric Utility,NG,NG,mcf,13834,13834,14110,14110,1073.0,2015
3948,6406,Chandler,U S Bureau of Reclamation,2518,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,271259,271259,29108.0,2015
3949,6407,Roza,U S Bureau of Reclamation,2518,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,579575,579575,62193.0,2015
3962,6424,Chelan,PUD No 1 of Chelan County,3413,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,3843866,3843866,412476.0,2015
3963,6430,Cedar Falls (WA),City of Seattle - (WA),16868,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,438775,438775,47084.0,2015
3964,6431,Gorge,City of Seattle - (WA),16868,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,8876916,8876916,952561.0,2015
3965,6432,Diablo,City of Seattle - (WA),16868,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,7210101,7210101,773699.0,2015
3966,6433,Boundary,City of Seattle - (WA),16868,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,32299244,32299244,3465956.0,2015
4000,6507,Drop 2 (WA),Yakama Power,56621,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,0,0,0.0,2015
4138,7113,PEC Headworks,PUD No 2 of Grant County,14624,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,209977,209977,22532.0,2015
4144,7127,Wynoochee,City of Tacoma  - (WA),18429,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,118164,118164,12680.0,2015
4225,7259,Skookumchuck,TransAlta Centralia Gen LLC,19099,WA,PACC,WECC,22,NAICS-22 Non-Cogen,WAT,HYC,,0,0,45189,45189,4849.0,2015
4323,7427,Cowlitz Falls,PUD No 1 of Lewis County,10944,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,1758280,1758280,188677.0,2015
4382,7511,McNary Dam Fish Attraction Project,Northern Wasco County PUD,13788,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,649926,649926,69742.0,2015
4424,7588,H M Jackson,PUD 1 of Snohomish County,17470,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,3463147,3463147,371622.24,2015
4431,7605,River Road Gen Plant,PUD No 1 of Clark County - (WA),3660,WA,PACC,WECC,22,Electric Utility,NG,NG,mcf,12394882,12394882,13210230,13210230,1812488.0,2015
4536,7832,Roosevelt Biogas 1,PUD No 1 of Klickitat County,10393,WA,PACC,WECC,22,Electric Utility,LFG,MLG,mcf,0,0,0,0,36938.0,2015
4537,7832,Roosevelt Biogas 1,PUD No 1 of Klickitat County,10393,WA,PACC,WECC,22,Electric Utility,LFG,MLG,mcf,2866215,2866215,1719728,1719728,117321.0,2015
4538,7832,Roosevelt Biogas 1,PUD No 1 of Klickitat County,10393,WA,PACC,WECC,22,Electric Utility,LFG,MLG,mcf,0,0,0,0,0.0,2015
4589,7867,Snoqualmie 2,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,941033,941033,100980.0,2015
4593,7870,Encogen,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,Electric Utility,DFO,DFO,barrels,0,0,0,0,53.844,2015
4594,7870,Encogen,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,Electric Utility,NG,NG,mcf,0,0,0,0,96647.156,2015
4595,7870,Encogen,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,Electric Utility,DFO,DFO,barrels,296,296,1716,1716,130.192,2015
4596,7870,Encogen,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,Electric Utility,NG,NG,mcf,2572874,2572874,2764671,2764671,203466.81,2015
4657,7936,Nine Canyon,Energy Northwest,20160,WA,PACC,WECC,22,Electric Utility,WND,WND,,0,0,1968247,1968247,211208.0,2015
4708,7999,Grays Harbor Energy Facility,Invenergy Services LLC,49893,WA,PACC,WECC,22,NAICS-22 Non-Cogen,NG,NG,mcf,0,0,0,0,1219438.0,2015
4709,7999,Grays Harbor Energy Facility,Invenergy Services LLC,49893,WA,PACC,WECC,22,NAICS-22 Non-Cogen,NG,NG,mcf,21289919,21289919,22890590,22890590,1785846.0,2015
4733,8022,Boulder Park,Avista Corp,20169,WA,PACC,WECC,22,Electric Utility,NG,NG,mcf,200973,200973,204992,204992,22428.0,2015
4875,9095,Monroe Street,Avista Corp,20169,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,783579,783579,84084.0,2015
4876,9096,Upper Falls,Avista Corp,20169,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,357606,357606,38374.0,2015
4880,9842,Newhalem,City of Seattle - (WA),16868,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,0,0,-62.0,2015
5837,50091,Sheep Creek Hydro,Sheep Creek Hydro Inc,16990,WA,PACC,WECC,22,NAICS-22 Non-Cogen,WAT,HYC,,0,0,76844,76844,8246.0,2015
